cat,east,north,altitud
1,435481.25,768181.25,2879.0
2,438956.25,767993.75,2863.0
3,442043.75,768043.75,2636.0
4,444981.25,768175.0,2653.0
5,443062.5,768118.75,2728.0
6,442881.25,768087.5,2750.0
7,443643.75,768006.25,2721.0
8,438493.75,767981.25,2873.0
9,442968.75,767993.75,2737.0
10,443881.25,767962.5,2734.0
11,436731.25,767918.75,2895.0
12,438075.0,767925.0,2892.0
13,445243.75,767968.75,2663.0
14,439793.75,767906.25,2752.0
15,442762.5,767893.75,2760.0
16,438581.25,767737.5,2924.0
17,445300.0,767850.0,2678.0
18,444437.5,767856.25,2747.0
19,436131.25,767775.0,2902.0
20,438968.75,767775.0,2893.0
21,442912.5,767681.25,2754.0
22,444550.0,767756.25,2757.0
23,445206.25,767793.75,2676.0
24,445175.0,767781.25,2677.0
25,441812.5,767762.5,2612.0
26,435525.0,767656.25,2925.0
27,444462.5,767706.25,2736.0
28,438237.5,767593.75,2928.0
29,441656.25,767637.5,2597.0
30,443075.0,767656.25,2733.0
31,444618.75,767631.25,2751.0
32,435868.75,767456.25,2942.0
33,438393.75,767606.25,2914.0
34,440418.75,767581.25,2718.0
35,444737.5,767556.25,2761.0
36,440093.75,767606.25,2733.0
37,443812.5,767431.25,2789.0
38,435618.75,767475.0,2915.0
39,436968.75,767450.0,2945.0
40,440368.75,767450.0,2723.0
41,444693.75,767318.75,2775.0
42,437356.25,767400.0,2960.0
43,441468.75,767418.75,2611.0
44,443475.0,767356.25,2772.0
45,443025.0,767418.75,2731.0
46,435112.5,767256.25,2945.0
47,438012.5,767337.5,2914.0
48,443875.0,767331.25,2782.0
49,446293.75,767331.25,2633.0
50,435468.75,767256.25,2950.0
51,437068.75,767306.25,2965.0
52,437325.0,767212.5,2969.0
53,437143.75,767106.25,2976.0
54,443212.5,767237.5,2764.0
55,441237.5,767231.25,2624.0
56,444025.0,767193.75,2783.0
57,446593.75,767150.0,2604.0
58,437818.75,767193.75,2918.0
59,441031.25,767193.75,2638.0
60,441231.25,767193.75,2626.0
61,444368.75,767068.75,2805.0
62,443250.0,767162.5,2756.0
63,437512.5,767125.0,2962.0
64,443893.75,767112.5,2779.0
65,441662.5,767118.75,2616.0
66,443775.0,767112.5,2777.0
67,440712.5,767043.75,2679.0
68,446731.25,766881.25,2606.0
69,443181.25,766956.25,2773.0
70,443093.75,767018.75,2767.0
71,436831.25,766981.25,2961.0
72,443518.75,766931.25,2799.0
73,443562.5,766893.75,2798.0
74,443681.25,766881.25,2803.0
75,440306.25,766818.75,2727.0
