cat,east,north,altitud
1,435481.25,768181.25,2879.00000000
2,438956.25,767993.75,2863.00000000
3,442043.75,768043.75,2636.00000000
4,444981.25,768175,2653.00000000
5,443062.5,768118.75,2728.00000000
6,442881.25,768087.5,2750.00000000
7,443643.75,768006.25,2721.00000000
8,438493.75,767981.25,2873.00000000
9,442968.75,767993.75,2737.00000000
10,443881.25,767962.5,2734.00000000
11,436731.25,767918.75,2895.00000000
12,438075,767925,2892.00000000
13,445243.75,767968.75,2663.00000000
14,439793.75,767906.25,2752.00000000
15,442762.5,767893.75,2760.00000000
16,438581.25,767737.5,2924.00000000
17,445300,767850,2678.00000000
18,444437.5,767856.25,2747.00000000
19,436131.25,767775,2902.00000000
20,438968.75,767775,2893.00000000
21,442912.5,767681.25,2754.00000000
22,444550,767756.25,2757.00000000
23,445206.25,767793.75,2676.00000000
24,445175,767781.25,2677.00000000
25,441812.5,767762.5,2612.00000000
26,435525,767656.25,2925.00000000
27,444462.5,767706.25,2736.00000000
28,438237.5,767593.75,2928.00000000
29,441656.25,767637.5,2597.00000000
30,443075,767656.25,2733.00000000
31,444618.75,767631.25,2751.00000000
32,435868.75,767456.25,2942.00000000
33,438393.75,767606.25,2914.00000000
34,440418.75,767581.25,2718.00000000
35,444737.5,767556.25,2761.00000000
36,440093.75,767606.25,2733.00000000
37,443812.5,767431.25,2789.00000000
38,435618.75,767475,2915.00000000
39,436968.75,767450,2945.00000000
40,440368.75,767450,2723.00000000
41,444693.75,767318.75,2775.00000000
42,437356.25,767400,2960.00000000
43,441468.75,767418.75,2611.00000000
44,443475,767356.25,2772.00000000
45,443025,767418.75,2731.00000000
46,435112.5,767256.25,2945.00000000
47,438012.5,767337.5,2914.00000000
48,443875,767331.25,2782.00000000
49,446293.75,767331.25,2633.00000000
50,435468.75,767256.25,2950.00000000
51,437068.75,767306.25,2965.00000000
52,437325,767212.5,2969.00000000
53,437143.75,767106.25,2976.00000000
54,443212.5,767237.5,2764.00000000
55,441237.5,767231.25,2624.00000000
56,444025,767193.75,2783.00000000
57,446593.75,767150,2604.00000000
58,437818.75,767193.75,2918.00000000
59,441031.25,767193.75,2638.00000000
60,441231.25,767193.75,2626.00000000
61,444368.75,767068.75,2805.00000000
62,443250,767162.5,2756.00000000
63,437512.5,767125,2962.00000000
64,443893.75,767112.5,2779.00000000
65,441662.5,767118.75,2616.00000000
66,443775,767112.5,2777.00000000
67,440712.5,767043.75,2679.00000000
68,446731.25,766881.25,2606.00000000
69,443181.25,766956.25,2773.00000000
70,443093.75,767018.75,2767.00000000
71,436831.25,766981.25,2961.00000000
72,443518.75,766931.25,2799.00000000
73,443562.5,766893.75,2798.00000000
74,443681.25,766881.25,2803.00000000
75,440306.25,766818.75,2727.00000000
76,435693.75,766812.5,2925.00000000
77,437125,766781.25,2956.00000000
78,435437.5,766793.75,2926.00000000
79,444212.5,766781.25,2815.00000000
80,436243.75,766756.25,2916.00000000
81,436256.25,766731.25,2918.00000000
82,439756.25,766681.25,2789.00000000
83,445600,766768.75,2729.00000000
84,437037.5,766631.25,2944.00000000
85,446956.25,766625,2599.00000000
86,442362.5,766668.75,2773.00000000
87,443831.25,766668.75,2839.00000000
88,439081.25,766643.75,2745.00000000
89,442168.75,766593.75,2757.00000000
90,437131.25,766618.75,2942.00000000
91,442868.75,766606.25,2814.00000000
92,444175,766493.75,2830.00000000
93,434900,766543.75,2999.00000000
94,435450,766537.5,2956.00000000
95,445587.5,766543.75,2739.00000000
96,437100,766525,2948.00000000
97,442906.25,766543.75,2822.00000000
98,443950,766468.75,2840.00000000
99,436293.75,766531.25,2937.00000000
100,437193.75,766525,2935.00000000
101,442681.25,766518.75,2817.00000000
102,436462.5,766412.5,2956.00000000
103,447006.25,766475,2597.00000000
104,438787.5,766493.75,2715.00000000
105,444656.25,766481.25,2765.00000000
106,438756.25,766456.25,2721.00000000
107,446587.5,766443.75,2603.00000000
108,435437.5,766393.75,2966.00000000
109,444268.75,766456.25,2825.00000000
110,444812.5,766418.75,2771.00000000
111,436831.25,766418.75,2906.00000000
112,441337.5,766375,2736.00000000
113,441406.25,766418.75,2722.00000000
114,438806.25,766406.25,2714.00000000
115,441431.25,766381.25,2720.00000000
116,446912.5,766331.25,2598.00000000
117,446506.25,766312.5,2605.00000000
118,443606.25,766243.75,2817.00000000
119,446475,766293.75,2603.00000000
120,443143.75,766356.25,2834.00000000
121,445012.5,766106.25,2786.00000000
122,445312.5,766268.75,2782.00000000
123,443900,766268.75,2814.00000000
124,445668.75,766237.5,2743.00000000
125,444737.5,766231.25,2769.00000000
126,435075,766187.5,2973.00000000
127,441875,766181.25,2788.00000000
128,446918.75,766125,2608.00000000
129,439531.25,766156.25,2728.00000000
130,436256.25,766106.25,2954.00000000
131,435300,766131.25,2950.00000000
132,443906.25,766131.25,2811.00000000
133,435043.75,766118.75,2965.00000000
134,442118.75,766056.25,2825.00000000
135,435006.25,766043.75,2971.00000000
136,444356.25,766068.75,2819.00000000
137,441093.75,765993.75,2734.00000000
138,447081.25,765943.75,2610.00000000
139,446587.5,766018.75,2610.00000000
140,443775,766093.75,2821.00000000
141,440981.25,765981.25,2725.00000000
142,446550,765981.25,2615.00000000
143,436531.25,765937.5,2966.00000000
144,446256.25,765968.75,2638.00000000
145,445081.25,765887.5,2772.00000000
146,436668.75,765843.75,2967.00000000
147,435831.25,765756.25,2950.00000000
148,443331.25,765806.25,2799.00000000
149,447000,765806.25,2603.00000000
150,436068.75,765818.75,2958.00000000
151,442787.5,765781.25,2823.00000000
152,442875,765775,2827.00000000
153,443431.25,765762.5,2809.00000000
154,441781.25,765731.25,2847.00000000
155,436087.5,765756.25,2959.00000000
156,436168.75,765668.75,2963.00000000
157,441962.5,765687.5,2855.00000000
158,434968.75,765700,2945.00000000
159,443775,765643.75,2806.00000000
160,442700,765650,2831.00000000
161,436581.25,765581.25,2979.00000000
162,442256.25,765681.25,2869.00000000
163,444975,765637.5,2743.00000000
164,446706.25,765650,2618.00000000
165,435293.75,765650,2962.00000000
166,435012.5,765593.75,2951.00000000
167,443281.25,765550,2828.00000000
168,439175,765575,2789.00000000
169,435175,765556.25,2964.00000000
170,446931.25,765531.25,2629.00000000
171,437393.75,765468.75,2984.00000000
172,437493.75,765493.75,2976.00000000
173,435837.5,765443.75,2972.00000000
174,442625,765493.75,2834.00000000
175,435443.75,765481.25,2958.00000000
176,435468.75,765475,2960.00000000
177,442518.75,765431.25,2848.00000000
178,437181.25,765318.75,2978.00000000
179,439368.75,765425,2840.00000000
180,442606.25,765468.75,2840.00000000
181,446006.25,765418.75,2652.00000000
182,435062.5,765356.25,2987.00000000
183,447418.75,765381.25,2650.00000000
184,435868.75,765381.25,2964.00000000
185,443056.25,765406.25,2849.00000000
186,445831.25,765356.25,2633.00000000
187,435350,765343.75,2972.00000000
188,435900,765325,2965.00000000
189,439412.5,765331.25,2819.00000000
190,434581.25,765318.75,2937.00000000
191,436412.5,765293.75,2974.00000000
192,442450,765287.5,2831.00000000
193,443475,765156.25,2845.00000000
194,434762.5,765250,2949.00000000
195,447556.25,765218.75,2668.00000000
196,440906.25,765212.5,2817.00000000
197,447225,765200,2652.00000000
198,435268.75,765168.75,2997.00000000
199,446568.75,765181.25,2642.00000000
200,438931.25,765162.5,2844.00000000
201,447787.5,765131.25,2687.00000000
202,437081.25,765181.25,2973.00000000
203,441668.75,765131.25,2816.00000000
204,436856.25,765181.25,2977.00000000
205,436200,765131.25,2994.00000000
206,439762.5,765125,2861.00000000
207,440462.5,765093.75,2879.00000000
208,442575,765056.25,2822.00000000
209,438718.75,765106.25,2833.00000000
210,438887.5,765081.25,2835.00000000
211,444268.75,765093.75,2746.00000000
212,440231.25,765081.25,2860.00000000
213,442006.25,765031.25,2826.00000000
214,444231.25,765068.75,2746.00000000
215,439293.75,764993.75,2860.00000000
216,439743.75,765031.25,2867.00000000
217,442075,765037.5,2826.00000000
218,442718.75,765043.75,2815.00000000
219,444012.5,765018.75,2763.00000000
220,444712.5,764981.25,2711.00000000
221,447431.25,765006.25,2648.00000000
222,435468.75,764918.75,2981.00000000
223,436031.25,764906.25,3002.00000000
224,447118.75,764950,2671.00000000
225,435337.5,764993.75,2975.00000000
226,440356.25,764893.75,2880.00000000
227,442831.25,765006.25,2804.00000000
228,439687.5,764950,2870.00000000
229,442350,764943.75,2823.00000000
230,444156.25,764981.25,2753.00000000
231,447406.25,764968.75,2646.00000000
232,444318.75,764912.5,2745.00000000
233,445106.25,764912.5,2703.00000000
234,447418.75,764912.5,2644.00000000
235,439968.75,764918.75,2879.00000000
236,448050,764868.75,2667.00000000
237,441025,764881.25,2845.00000000
238,445531.25,764812.5,2685.00000000
239,446087.5,764887.5,2626.00000000
240,436193.75,764881.25,2997.00000000
241,436656.25,764843.75,3010.00000000
242,438243.75,764818.75,2861.00000000
243,446637.5,764843.75,2674.00000000
244,447218.75,764868.75,2663.00000000
245,436362.5,764862.5,2986.00000000
246,438675,764825,2869.00000000
247,440875,764818.75,2852.00000000
248,441831.25,764843.75,2843.00000000
249,442187.5,764831.25,2829.00000000
250,436462.5,764831.25,2984.00000000
251,439987.5,764818.75,2884.00000000
252,435431.25,764818.75,2979.00000000
253,439200,764718.75,2868.00000000
254,434550,764743.75,2954.00000000
255,438012.5,764693.75,2869.00000000
