plan_id,num_puntos,residual_mean,residual_std,residual_min,residual_max,height_min,height_max,east_extent,north_extent,inclinacion,direccion
1,960,5.324333566629018e-13,3.3944020410095623,-6.525465847470514,6.5793208959921685,2472.0,2942.0,31618.75,41937.5,0.6641390607388918,E
2,748,-1.6244450823110055e-12,3.3135444865628236,-6.39667100159204,6.181117547857866,2469.0,2950.0,31093.75,43893.75,0.6483885264882101,E
3,745,-6.323734973401032e-13,3.455239482085126,-6.024345788624487,6.195867190930585,2459.0,2902.0,31975.0,42868.75,0.6187526372194436,E
4,629,-2.5014719142562257e-13,3.4250161764104763,-6.141299643297316,6.16946078073488,2453.0,2873.0,31337.5,42443.75,0.5857505132050358,E
5,576,1.446349213236115e-12,3.4320698732734782,-6.487275668828261,6.377174104350161,2483.0,2969.0,31456.25,43600.0,0.6405014111214005,E
6,515,3.0022155204154915e-13,3.3481205161521004,-6.5736829641045915,6.493205842318275,2451.0,2863.0,30450.0,42212.5,0.5911563089137156,E
7,384,6.631732200427601e-13,3.563424011187452,-6.550116785252612,6.372017407911699,2515.0,2979.0,30943.75,40918.75,0.7298593278550864,E
8,324,3.929915378031171e-13,3.267033222905729,-6.337995931430669,6.022862444462589,2483.0,2830.0,30731.25,40625.0,0.4802227949311027,E
9,311,3.9772115575922265e-13,2.8715543509431813,-6.264054556630072,6.531467434087972,2534.0,2928.0,31712.5,35318.75,0.6378433483980461,E
10,273,-2.9650193574282277e-13,3.4501536694334622,-6.639562959410796,6.11465321655578,2522.0,2999.0,30718.75,42012.5,0.698745335187976,E
11,283,-5.013469027440877e-13,3.072086456008852,-6.976044878645553,5.259381463538375,2455.0,2893.0,31387.5,42218.75,0.6056457396764041,E
12,268,7.635683130556301e-13,3.3508258203641823,-6.223964407416133,5.916554928532605,2451.0,2815.0,30375.0,39193.75,0.5315975233864638,E
13,240,-6.821210263296962e-14,1.7196274091591217,-4.063944947743948,3.6336105131886143,2475.0,2960.0,29625.0,43856.25,0.6445979843044122,E
